,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência
1590,Flora,Angiospermas,Acanthaceae,Justicia ramulosa,Vulnerável (VU),VU,"Cerrado,Mata Atlântica","Perda de Habitat/Degradação (Induzida por Humanos),Agropecuária,Extração de Madeira",Sim,Não,2,Não,"MS,PR"
1591,Flora,Angiospermas,Acanthaceae,Justicia tijucensis,Vulnerável (VU),VU,Mata Atlântica,"Desenvolvimento e Infraestrutura,Queimadas,Espécies Invasoras,Agropecuária",Sim,Não,2,Sim,"ES,RJ"
1592,Fauna,Peixes Marinhos,Istiophoridae,Kajikia albida,Vulnerável (VU),VU,Marinho,Caça/Pesca,Sim,Não,4,Não,"AL,AP,BA,,CE,ES,MA,PA,PB,PE,PI,PR,RJ,RN,RS,SC,SE,SP"
1593,Fauna,Peixes Continentais,Doradidae,Kalyptodoras bahiensis,Em Perigo (EN),EN,"Caatinga,Mata Atlântica","Espécies Exóticas,Barragens,Abastecimento/Drenagem,Poluição",Não,Sim,1,Sim,BA
1594,Fauna,Répteis,Teiidae,Kentropyx vanzoi,Vulnerável (VU),VU,"Cerrado,Pantanal",Agropecuária,Sim,Sim,2,Sim,"MT,RO"
1595,Fauna,Mamíferos,Caviidae,Kerodon acrobata,Vulnerável (VU),VU,Cerrado,"Agropecuária,Caça/Pesca,Mineração,Queimadas",Sim,Não,1,Sim,"GO,TO"
1596,Fauna,Mamíferos,Caviidae,Kerodon rupestris,Vulnerável (VU),VU,"Caatinga,Cerrado","Agropecuária,Caça/Pesca",Sim,Não,2,Sim,"AL,BA,CE,MA,MG,PB,PE,PI,RN,SE"
1597,Flora,Angiospermas,Calophyllaceae,Kielmeyera occhioniana,Em Perigo (EN),EN,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Espécies Invasoras,Extração de Madeira,Plantação de Madereiras,Agropecuária",Sim,Não,2,Sim,ES
1598,Flora,Angiospermas,Calophyllaceae,Kielmeyera rufotomentosa,Criticamente em Perigo (CR),CR,Mata Atlântica,"Queimadas,Agropecuária, Perda de Habitat/Degradação (Induzida por Humanos),Espécies Invasoras,Plantação de Madereiras,Extração de Madeira",Não,Não,1,Informação não disponível,ES
1599,Flora,Angiospermas,Calophyllaceae,Kielmeyera rupestris,Criticamente em Perigo (CR),CR,Mata Atlântica,"Extração de Madeira,Distribuição Restrita,Plantação de Madereiras,Espécies Invasoras, Perda de Habitat/Degradação (Induzida por Humanos)",Não,Não,1,Informação não disponível,ES
1600,Flora,Angiospermas,Calophyllaceae,Kielmeyera sigillata,Criticamente em Perigo (CR),CR,Mata Atlântica,"Plantação de Madereiras, Perda de Habitat/Degradação (Induzida por Humanos),Espécies Invasoras,Extração de Madeira,Agropecuária",Não,Não,1,Informação não disponível,ES
1601,Flora,Angiospermas,Apiaceae,Klotzschia rhizophylla,Em Perigo (EN),EN,Cerrado,"Turismo/Recreação, Perda de Habitat/Degradação (Induzida por Humanos),Assentamento Humano: cidades,Espécies Invasoras",Sim,Sim,3,Sim,MG
1602,Fauna,Peixes Continentais,Characidae,Kolpotocheirodon figueiredoi,Criticamente em Perigo (CR),CR,"Caatinga,Mata Atlântica",Turismo/Recreação,Sim,Sim,2,Sim,BA
1603,Fauna,Peixes Continentais,Characidae,Kolpotocheirodon theloura,Vulnerável (VU),VU,Cerrado,"Agropecuária,Assentamento Humano: cidades,Espécies Exóticas,Queimadas",Sim,Sim,2,Sim,"DF,GO"
