,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência
0,Flora,Angiospermas,Salicaceae,Abatia angeliana,Vulnerável (VU),VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,2,Sim,PR
1,Fauna,Aves,Cracidae,Aburria jacutinga,Em Perigo (EN),EN,"Cerrado,Mata Atlântica","Agropecuária,Assentamento Humano: cidades,Caça/Pesca,Extração Florestal",Sim,Não,4,Não,"BA,ES,MG,PR,RJ,RS,SC,SP"
2,Flora,Angiospermas,Malvaceae,Abutilon anodoides,Criticamente em Perigo (CR),CR,Mata Atlântica,Assentamento Humano: cidades,Sim,Sim,2,Sim,RJ
3,Flora,Angiospermas,Malvaceae,Abutilon nigricans,Criticamente em Perigo (CR),CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,SP
4,Flora,Angiospermas,Santalaceae,Acanthosyris paulo-alvinii,Vulnerável (VU),VU,Cerrado,"Perda de Habitat/Degradação (Induzida por Humanos),Extração de Madeira,Agropecuária",Sim,Não,2,Sim,BA
5,Flora,Angiospermas,Myrtaceae,Accara elegans,Em Perigo (EN),EN,"Cerrado,Mata Atlântica","Mineração,Desenvolvimento e Infraestrutura",Sim,Sim,3,Não,MG
6,Fauna,Invertebrados Terrestres,Coenagrionidae,Aceratobasis cornicauda,Vulnerável (VU),VU,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades,Poluição",Sim,Não,2,Sim,"BA,ES"
7,Fauna,Invertebrados Terrestres,Coenagrionidae,Aceratobasis mourei,Em Perigo (EN),EN,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades",Sim,Não,2,Sim,ES
8,Fauna,Invertebrados Terrestres,Hypogastruridae,Acherontides eleonorae,Em Perigo (EN),EN,Mata Atlântica,"Mudança na dinâmica das espécies nativas,Turismo/Recreação",Sim,Não,3,Sim,"PR,SP"
9,Flora,Angiospermas,Plantaginaceae,Achetaria caparaoense,Criticamente em Perigo (CR),CR,Mata Atlântica,Queimadas,Sim,Não,2,Sim,"ES,MG"
10,Flora,Angiospermas,Plantaginaceae,Achetaria latifolia,Criticamente em Perigo (CR),CR,Mata Atlântica,"Assentamento Humano: cidades,Desenvolvimento e Infraestrutura",Sim,Sim,2,Sim,"ES,MG,RJ"
11,Fauna,Peixes Marinhos,Achiridae,Achirus mucuri,Vulnerável (VU),VU,Mata Atlântica,"Caça/Pesca,Outras Atividades Econômicas: energia,Poluição,Assoreamento",Sim,Não,1,Sim,BA
12,Flora,Angiospermas,Orchidaceae,Acianthera adiri,Criticamente em Perigo (CR),CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,PR
13,Flora,Angiospermas,Orchidaceae,Acianthera heringeri,Criticamente em Perigo (CR),CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"ES,MG,RJ"
14,Flora,Angiospermas,Orchidaceae,Acianthera langeana,Em Perigo (EN),EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,PR
15,Flora,Angiospermas,Orchidaceae,Acianthera papillosa,Vulnerável (VU),VU,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Agropecuária,Turismo/Recreação",Sim,Sim,3,Informação não disponível,"BA,CE,PE,ES,MG,SP,RS"
16,Flora,Angiospermas,Asteraceae,Acmella pusilla,Em Perigo (EN),EN,Pampa,"Agropecuária,Queimadas",Sim,Não,2,Não,"PR,RS"
17,Flora,Angiospermas,Asteraceae,Acritopappus catolesensis,Vulnerável (VU),VU,Caatinga,"Queimadas,Extração de Madeira,Assentamento Humano: cidades",Sim,Não,2,Sim,BA
18,Flora,Angiospermas,Asteraceae,Acritopappus connatifolius,Em Perigo (EN),EN,Caatinga,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,BA
19,Flora,Angiospermas,Asteraceae,Acritopappus irwinii,Vulnerável (VU),VU,"Caatinga,Cerrado",Vazio,Sim,Sim,2,Informação não disponível,MG
20,Flora,Angiospermas,Asteraceae,Acritopappus pintoi,Criticamente em Perigo (CR),CR,Caatinga,Queimadas,Não,Não,1,Sim,BA
21,Fauna,Aves,Furnariidae,Acrobatornis fonsecai,Vulnerável (VU),VU,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,"BA,MG"
22,Flora,Angiospermas,Arecaceae,Acrocomia emensis,Vulnerável (VU),VU,Cerrado,"Agropecuária,Queimadas, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Informação não disponível,"GO,MS,MG,SP,PR"
23,Flora,Angiospermas,Eriocaulaceae,Actinocephalus cipoensis,Criticamente em Perigo (CR),CR,Cerrado,"Perda de Habitat/Degradação (Induzida por Humanos),Agropecuária",Sim,Sim,2,Sim,MG
24,Flora,Angiospermas,Eriocaulaceae,Actinocephalus claussenianus,Vulnerável (VU),VU,Cerrado,"Agropecuária, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Sim,2,Sim,MG
25,Fauna,Invertebrados Terrestres,Nymphalidae,Actinote quadra,Vulnerável (VU),VU,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades",Sim,Sim,3,Sim,RJ
26,Fauna,Invertebrados Terrestres,Nymphalidae,Actinote zikani,Criticamente em Perigo (CR),CR,Mata Atlântica,Poluição,Sim,Sim,2,Sim,SP
27,Flora,Angiospermas,Orchidaceae,Adamantinia miltonioides,Criticamente em Perigo (CR),CR,Caatinga,Vazio,Sim,Não,3,Sim,BA
28,Fauna,Invertebrados Terrestres,Baetidae,Adebrotus lugoi,Vulnerável (VU),VU,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,ES
29,Fauna,Anfíbios,Eleutherodactylidae,Adelophryne maranguapensis,Vulnerável (VU),VU,Caatinga,"Agropecuária,Assentamento Humano: cidades",Não,Sim,2,Sim,CE
30,Flora,Angiospermas,Bignoniaceae,Adenocalymma dichilum,Em Perigo (EN),EN,Caatinga,"Extração para Combustível,Agropecuária",Sim,Não,2,Sim,"PI,CE,MG,BA"
31,Flora,Angiospermas,Bignoniaceae,Adenocalymma fruticosum,Em Perigo (EN),EN,Cerrado,Queimadas,Sim,Não,2,Sim,BA
32,Flora,Angiospermas,Bignoniaceae,Adenocalymma magnoalatum,Em Perigo (EN),EN,Mata Atlântica,Queimadas,Sim,Não,2,Sim,MG
33,Flora,Angiospermas,Bignoniaceae,Adenocalymma ubatubense,Criticamente em Perigo (CR),CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"RJ,SP"
34,Flora,Angiospermas,Euphorbiaceae,Adenophaedra cearensis,Criticamente em Perigo (CR),CR,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,CE
35,Flora,Pteridófitas,Pteridaceae,Adiantum diphyllum,Criticamente em Perigo (CR),CR,Mata Atlântica,"Agropecuária,Plantação de Madereiras",Sim,Não,2,Sim,BA
36,Flora,Pteridófitas,Pteridaceae,Adiantum discolor,Em Perigo (EN),EN,Mata Atlântica,"Plantação de Madereiras,Agropecuária",Sim,Não,2,Sim,BA
37,Flora,Pteridófitas,Pteridaceae,Adiantum mynsseniae,Em Perigo (EN),EN,Mata Atlântica,"Agropecuária,Plantação de Madereiras",Sim,Não,2,Sim,"MG,RJ,SP"
38,Flora,Pteridófitas,Pteridaceae,Adiantum papillosum,Em Perigo (EN),EN,Mata Atlântica,"Turismo/Recreação,Agropecuária",Sim,Não,2,Informação não disponível,"PR,RJ,ES,MG"
39,Flora,Pteridófitas,Pteridaceae,Adiantum tetragonum,Em Perigo (EN),EN,Mata Atlântica,Plantação de Madereiras,Sim,Não,2,Informação não disponível,"BA,MG"
40,Flora,Angiospermas,Bromeliaceae,Aechmea alopecurus,Em Perigo (EN),EN,Mata Atlântica,"Agropecuária,Queimadas",Não,Não,1,Sim,"BA,MG"
41,Flora,Angiospermas,Bromeliaceae,Aechmea amicorum,Em Perigo (EN),EN,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Fatores Intrínsecos",Sim,Não,2,Sim,"BA,ES"
42,Flora,Angiospermas,Bromeliaceae,Aechmea apocalyptica,Vulnerável (VU),VU,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Extração Direta",Sim,Não,2,Sim,"SC,SP,PR,SC"
43,Flora,Angiospermas,Bromeliaceae,Aechmea azurea,Vulnerável (VU),VU,Mata Atlântica,"Agropecuária,Espécies Invasoras,Extração Direta",Sim,Não,2,Sim,"BA,ES"
44,Flora,Angiospermas,Bromeliaceae,Aechmea bambusoides,Vulnerável (VU),VU,Mata Atlântica,Vazio,Sim,Não,2,Informação não disponível,"MG,RJ"
45,Flora,Angiospermas,Bromeliaceae,Aechmea cariocae,Em Perigo (EN),EN,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Distribuição Restrita",Sim,Sim,2,Sim,RJ
46,Flora,Angiospermas,Bromeliaceae,Aechmea castanea,Em Perigo (EN),EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,ES
47,Flora,Angiospermas,Bromeliaceae,Aechmea depressa,Em Perigo (EN),EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"BA,ES"
48,Flora,Angiospermas,Bromeliaceae,Aechmea echinata,Em Perigo (EN),EN,Mata Atlântica,"Agropecuária,Distribuição Restrita",Sim,Não,2,Sim,BA
49,Flora,Angiospermas,Bromeliaceae,Aechmea fosteriana,Em Perigo (EN),EN,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Distribuição Restrita",Sim,Não,2,Sim,ES
50,Flora,Angiospermas,Bromeliaceae,Aechmea gustavoi,Criticamente em Perigo (CR),CR,Mata Atlântica,"Espécies Invasoras, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,"BA,PE,AL"
51,Flora,Angiospermas,Bromeliaceae,Aechmea kertesziae,Em Perigo (EN),EN,Mata Atlântica,Vazio,Sim,Sim,2,Sim,SC
52,Flora,Angiospermas,Bromeliaceae,Aechmea kleinii,Em Perigo (EN),EN,Mata Atlântica,Extração de Não Madereiras,Sim,Não,2,Sim,"SC,RS"
53,Flora,Angiospermas,Bromeliaceae,Aechmea macrochlamys,Em Perigo (EN),EN,Mata Atlântica,Vazio,Sim,Não,2,Sim,ES
54,Flora,Angiospermas,Bromeliaceae,Aechmea marginalis,Criticamente em Perigo (CR),CR,Mata Atlântica,Baixa Densidade,Sim,Não,2,Sim,AL
55,Flora,Angiospermas,Bromeliaceae,Aechmea muricata,Em Perigo (EN),EN,Mata Atlântica,Desenvolvimento e Infraestrutura,Sim,Não,2,Sim,"PE,AL,RN"
56,Flora,Angiospermas,Bromeliaceae,Aechmea mutica,Em Perigo (EN),EN,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Distribuição Restrita",Sim,Não,2,Sim,ES
57,Flora,Angiospermas,Bromeliaceae,Aechmea orlandiana,Criticamente em Perigo (CR),CR,Mata Atlântica,Extração de Não Madereiras,Sim,Não,2,Sim,ES
58,Flora,Angiospermas,Bromeliaceae,Aechmea sphaerocephala,Em Perigo (EN),EN,Mata Atlântica,Desenvolvimento e Infraestrutura,Sim,Não,2,Sim,"ES,RJ"
59,Flora,Angiospermas,Bromeliaceae,Aechmea triangularis,Em Perigo (EN),EN,Mata Atlântica,Vazio,Sim,Não,2,Sim,"ES,PR"
60,Flora,Angiospermas,Bromeliaceae,Aechmea vanhoutteana,Vulnerável (VU),VU,Mata Atlântica,Vazio,Sim,Não,2,Sim,"MG,RJ,SP"
61,Flora,Angiospermas,Bromeliaceae,Aechmea werdermannii,Em Perigo (EN),EN,"Caatinga,Mata Atlântica",Distúrbio Humano,Sim,Não,2,Sim,"PE,AL,RN"
62,Flora,Angiospermas,Bromeliaceae,Aechmea winkleri,Criticamente em Perigo (CR),CR,Mata Atlântica,Extração de Não Madereiras,Sim,Não,2,Sim,"RS,SC"
63,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla brevipalma,Criticamente em Perigo (CR),CR,Mata Atlântica,"Agropecuária,Poluição",Não,Sim,1,Sim,SC
64,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla camargoi,Em Perigo (EN),EN,Mata Atlântica,"Agropecuária,Outras Atividades Econômicas: energia",Não,Sim,1,Sim,"RS,SC"
65,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla cavernicola,Criticamente em Perigo (CR),CR,Mata Atlântica,"Assentamento Humano: cidades,Poluição",Sim,Não,2,Sim,SP
66,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla franca,Criticamente em Perigo (CR),CR,Mata Atlântica,"Agropecuária,Indústrias,Transporte Diversos",Não,Sim,1,Sim,"MG,SP"
67,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla grisella,Vulnerável (VU),VU,Mata Atlântica,"Agropecuária,Transporte Diversos,Poluição",Não,Sim,1,Sim,RS
68,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla inconspicua,Vulnerável (VU),VU,"Mata Atlântica,Pampa","Agropecuária,Outras Atividades Econômicas: energia",Sim,Sim,1,Sim,RS
69,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla inermis,Em Perigo (EN),EN,"Mata Atlântica,Pampa","Agropecuária,Transporte Diversos,Poluição",Sim,Sim,2,Sim,RS
70,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla itacolomiensis,Em Perigo (EN),EN,"Mata Atlântica,Pampa","Agropecuária,Poluição",Não,Sim,1,Sim,RS
71,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla lata,Criticamente em Perigo (CR),CR,Mata Atlântica,"Agropecuária,Poluição,Queimadas",Não,Sim,1,Sim,PR
72,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla leachi,Em Perigo (EN),EN,Mata Atlântica,"Agropecuária,Poluição",Não,Sim,1,Sim,SC
73,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla leptochela,Criticamente em Perigo (CR),CR,Mata Atlântica,"Espécies Exóticas,Mineração,Turismo/Recreação",Não,Não,1,Sim,SP
74,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla leptodactyla,Vulnerável (VU),VU,Mata Atlântica,"Agropecuária,Outras Atividades Econômicas: energia",Sim,Sim,1,Sim,"RS,SC"
75,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla ligulata,Vulnerável (VU),VU,Mata Atlântica,"Agropecuária,Poluição",Sim,Sim,2,Sim,RS
76,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla manuinflata,Em Perigo (EN),EN,"Mata Atlântica,Pampa","Agropecuária,Poluição",Não,Sim,1,Sim,RS
77,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla microphthalma,Criticamente em Perigo (CR),CR,Mata Atlântica,"Espécies Exóticas,Mineração",Sim,Não,2,Sim,SP
78,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla oblata,Em Perigo (EN),EN,Mata Atlântica,"Agropecuária,Outras Atividades Econômicas: energia,Poluição",Não,Sim,1,Sim,SC
79,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla obstipa,Em Perigo (EN),EN,Pampa,"Agropecuária,Poluição,Poluição,Assoreamento",Não,Não,0,Sim,RS
80,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla perobae,Criticamente em Perigo (CR),CR,Mata Atlântica,Poluição,Sim,Sim,2,Sim,SP
81,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla plana,Em Perigo (EN),EN,"Mata Atlântica,Pampa","Agropecuária,Outras Atividades Econômicas: energia",Sim,Sim,1,Sim,RS
82,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla pomerana,Em Perigo (EN),EN,Mata Atlântica,"Agropecuária,Turismo/Recreação",Não,Sim,1,Sim,SC
83,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla renana,Criticamente em Perigo (CR),CR,Pampa,Poluição,Sim,Sim,1,Sim,RS
84,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla rossiana,Em Perigo (EN),EN,"Mata Atlântica,Pampa","Agropecuária,Assentamento Humano: cidades",Sim,Sim,1,Sim,"RS,SC"
85,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla spinipalma,Vulnerável (VU),VU,"Mata Atlântica,Pampa","Agropecuária,Poluição",Não,Sim,1,Sim,RS
86,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla spinosa,Vulnerável (VU),VU,Mata Atlântica,"Agropecuária,Outras Atividades Econômicas: energia",Não,Sim,1,Sim,"RS,SC"
87,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla strinatii,Em Perigo (EN),EN,Mata Atlântica,Assentamento Humano: rurais,Sim,Sim,1,Sim,"PR,SP"
88,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla violacea,Em Perigo (EN),EN,Pampa,"Agropecuária,Espécies Exóticas,Poluição",Sim,Sim,1,Sim,RS
89,Flora,Angiospermas,Fabaceae,Aeschynomene fructipendula,Em Perigo (EN),EN,Mata Atlântica,"Agropecuária,Turismo/Recreação,Poluição",Não,Sim,2,Informação não disponível,"RS,SC"
90,Flora,Angiospermas,Fabaceae,Aeschynomene laca-buendiana,Em Perigo (EN),EN,Cerrado,Distribuição Restrita,Não,Sim,2,Sim,MG
91,Flora,Angiospermas,Orobanchaceae,Agalinis bandeirensis,Criticamente em Perigo (CR),CR,Mata Atlântica,"Queimadas,Turismo/Recreação",Sim,Não,2,Sim,"ES,MG"
92,Flora,Angiospermas,Orobanchaceae,Agalinis brachyphylla,Vulnerável (VU),VU,Cerrado,"Extração para Combustível,Mineração,Turismo/Recreação,Assentamento Humano: cidades",Sim,Sim,3,Sim,MG
93,Flora,Angiospermas,Orobanchaceae,Agalinis itambensis,Em Perigo (EN),EN,Cerrado,"Extração para Combustível,Mineração,Assentamento Humano: cidades,Turismo/Recreação",Sim,Não,2,Sim,MG
94,Flora,Angiospermas,Orobanchaceae,Agalinis nana,Em Perigo (EN),EN,Cerrado,"Desastres Naturais,Queimadas",Sim,Não,2,Sim,MG
95,Flora,Angiospermas,Orobanchaceae,Agalinis ramulifera,Em Perigo (EN),EN,Mata Atlântica,"Mineração,Turismo/Recreação",Não,Sim,2,Sim,"MG,SP,PR"
96,Flora,Angiospermas,Orobanchaceae,Agalinis schwackeana,Criticamente em Perigo (CR),CR,Cerrado,"Assentamento Humano: cidades,Extração para Combustível,Mineração,Turismo/Recreação",Não,Sim,2,Sim,MG
97,Fauna,Anfíbios,Hylidae,Agalychnis granulosa,Vulnerável (VU),VU,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades",Sim,Sim,4,Sim,"AL,PE"
98,Flora,Angiospermas,Asteraceae,Agrianthus almasensis,Em Perigo (EN),EN,Cerrado,"Perda de Habitat/Degradação (Induzida por Humanos),Agropecuária",Sim,Não,2,Sim,BA
99,Flora,Angiospermas,Asteraceae,Agrianthus giuliettiae,Em Perigo (EN),EN,"Caatinga,Cerrado",Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,BA
100,Flora,Angiospermas,Poaceae,Agrostis lenis,Vulnerável (VU),VU,Mata Atlântica,"Queimadas,Espécies Invasoras,Agropecuária",Sim,Sim,2,Não,"MG,RJ,SP,PR,SC,RS"
101,Flora,Angiospermas,Poaceae,Agrostis longiberbis,Em Perigo (EN),EN,Mata Atlântica,"Poluição,Agropecuária,Espécies Invasoras,Queimadas",Sim,Não,2,Sim,"MG,RJ,SP,PR,SC,RS"
102,Fauna,Peixes Continentais,Pimelodidae,Aguarunichthys tocantinsensis,Em Perigo (EN),EN,"Amazônia,Cerrado",Outras Atividades Econômicas: energia,Sim,Sim,2,Sim,"MT,PA,TO"
103,Flora,Angiospermas,Lauraceae,Aiouea benthamiana,Em Perigo (EN),EN,Amazônia,"Perda de Habitat/Degradação (Induzida por Humanos),Desenvolvimento e Infraestrutura",Sim,Não,3,Não,"AC,AM,AP"
104,Flora,Angiospermas,Lauraceae,Aiouea bracteata,Vulnerável (VU),VU,"Cerrado,Mata Atlântica",Agropecuária,Sim,Não,2,Sim,"SP,MG"
105,Flora,Angiospermas,Lauraceae,Aiouea lehmannii,Em Perigo (EN),EN,Amazônia,"Extração de Madeira,Assentamento Humano: cidades,Agropecuária",Sim,Não,2,Não,AC
106,Fauna,Mamíferos,Cricetidae,Akodon mystax,Vulnerável (VU),VU,Mata Atlântica,"Patogenias/Parasitas,Queimadas",Sim,Não,1,Sim,ES
107,Flora,Pteridófitas,Polypodiaceae,Alansmia senilis,Criticamente em Perigo (CR),CR,"Amazônia,Mata Atlântica",Vazio,Sim,Não,2,Não,"AM,SP"
108,Flora,Angiospermas,Orchidaceae,Alatiglossum croesus,Criticamente em Perigo (CR),CR,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,RJ
109,Flora,Angiospermas,Fabaceae,Albizia burkartiana,Vulnerável (VU),VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Não,Não,1,Sim,"PR,SC,RS"
110,Flora,Angiospermas,Fabaceae,Albizia glabripetala,Em Perigo (EN),EN,Amazônia,Poluição,Sim,Não,3,Não,"AM,RO"
111,Flora,Angiospermas,Bromeliaceae,Alcantarea benzingii,Criticamente em Perigo (CR),CR,Mata Atlântica,"Extração de Não Madereiras, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,ES
112,Flora,Angiospermas,Bromeliaceae,Alcantarea duarteana,Em Perigo (EN),EN,Cerrado,"Extração de Não Madereiras,Queimadas",Sim,Sim,2,Sim,MG
113,Flora,Angiospermas,Bromeliaceae,Alcantarea farneyi,Criticamente em Perigo (CR),CR,Mata Atlântica,Turismo/Recreação,Sim,Sim,2,Sim,RJ
114,Flora,Angiospermas,Bromeliaceae,Alcantarea geniculata,Em Perigo (EN),EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,2,Sim,RJ
115,Flora,Angiospermas,Bromeliaceae,Alcantarea glaziouana,Em Perigo (EN),EN,Mata Atlântica,"Turismo/Recreação,Assentamento Humano: cidades,Queimadas",Sim,Sim,2,Sim,RJ
116,Flora,Angiospermas,Bromeliaceae,Alcantarea imperialis,Vulnerável (VU),VU,Mata Atlântica,"Turismo/Recreação,Extração Direta,Queimadas",Sim,Não,2,Sim,"MG,RJ"
117,Flora,Angiospermas,Bromeliaceae,Alcantarea nahoumii,Vulnerável (VU),VU,"Caatinga,Mata Atlântica","Extração de Não Madereiras,Queimadas",Não,Não,1,Sim,BA
118,Flora,Angiospermas,Bromeliaceae,Alcantarea nevaresii,Em Perigo (EN),EN,Mata Atlântica,Vazio,Sim,Sim,2,Sim,RJ
119,Flora,Angiospermas,Bromeliaceae,Alcantarea vinicolor,Em Perigo (EN),EN,Mata Atlântica,Extração de Não Madereiras,Sim,Não,2,Sim,ES
120,Flora,Angiospermas,Asteraceae,Aldama corumbensis,Em Perigo (EN),EN,Cerrado,Vazio,Sim,Não,2,Sim,MS
121,Flora,Angiospermas,Asteraceae,Aldama filifolia,Em Perigo (EN),EN,Cerrado,Vazio,Sim,Não,2,Sim,"BA,GO,MG"
122,Flora,Angiospermas,Asteraceae,Aldama goyazii,Vulnerável (VU),VU,Cerrado,Vazio,Sim,Sim,2,Informação não disponível,"GO,MG,SP"
123,Flora,Angiospermas,Asteraceae,Aldama linearifolia,Criticamente em Perigo (CR),CR,Cerrado,Vazio,Sim,Não,2,Não,MS
124,Flora,Angiospermas,Asteraceae,Aldama paranensis,Criticamente em Perigo (CR),CR,Cerrado,Vazio,Sim,Não,2,Sim,PR
125,Flora,Angiospermas,Asteraceae,Aldama vernonioides,Em Perigo (EN),EN,Cerrado,Vazio,Sim,Não,2,Sim,MT
126,Fauna,Aves,Tyrannidae,Alectrurus tricolor,Vulnerável (VU),VU,"Cerrado,Mata Atlântica,Pantanal","Agropecuária,Mineração,Queimadas",Sim,Sim,4,Não,"BA,DF,GO,MG,MS,MT,PR,SP,TO"
127,Fauna,Invertebrados Terrestres,Sphingidae,Aleuron prominens,Vulnerável (VU),VU,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,"PR,RJ,SP"
128,Fauna,Invertebrados Terrestres,Sphingidae,Aleuron ypanemae,Em Perigo (EN),EN,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades,Extração Florestal,Poluição",Sim,Não,2,Sim,SP
129,Flora,Angiospermas,Euphorbiaceae,Algernonia dimitrii,Criticamente em Perigo (CR),CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,ES
130,Flora,Angiospermas,Euphorbiaceae,Algernonia kuhlmannii,Criticamente em Perigo (CR),CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Não,Não,1,Sim,ES
131,Flora,Angiospermas,Arecaceae,Allagoptera brevicalyx,Vulnerável (VU),VU,"Caatinga,Mata Atlântica","Assentamento Humano: cidades,Turismo/Recreação",Sim,Não,2,Sim,"BA,SE"
132,Fauna,Anfíbios,Aromobatidae,Allobates brunneus,Criticamente em Perigo (CR),CR,Cerrado,"Agropecuária,Outras Atividades Econômicas: energia",Não,Sim,1,Sim,MT
133,Fauna,Anfíbios,Aromobatidae,Allobates goianus,Em Perigo (EN),EN,Cerrado,"Agropecuária,Mineração,Outras Atividades Econômicas: energia",Sim,Sim,3,Sim,"DF,GO"
134,Fauna,Anfíbios,Aromobatidae,Allobates olfersioides,Vulnerável (VU),VU,Mata Atlântica,Assentamento Humano: cidades,Sim,Sim,3,Sim,RJ
135,Flora,Angiospermas,Rutaceae,Almeidea coerulea,Em Perigo (EN),EN,Mata Atlântica,Desenvolvimento e Infraestrutura,Sim,Não,2,Sim,BA
136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Vulnerável (VU),VU,Marinho,Caça/Pesca,Sim,Sim,4,Não,"AL,AP,BA,CE,ES,MA,PA,PB,PE,PI,PR,RJ,RN,RS,SC,SE,SP"
137,Fauna,Peixes Marinhos,Alopiidae,Alopias vulpinus,Vulnerável (VU),VU,Marinho,Caça/Pesca,Sim,Sim,4,Não,"AL,AP,BA,CE,ES,MA,PA,PB,PE,PI,PR,RJ,RN,RS,SC,SE,SP"
138,Fauna,Mamíferos,Atelidae,Alouatta belzebul,Vulnerável (VU),VU,"Amazônia,Mata Atlântica","Agropecuária,Assentamento Humano: cidades,Assentamento Humano: rurais,Caça/Pesca,Outras Atividades Econômicas: energia",Sim,Sim,5,Sim,"AP,MA,PA,TO"
139,Fauna,Mamíferos,Atelidae,Alouatta discolor,Vulnerável (VU),VU,Amazônia,"Agropecuária,Assentamento Humano: rurais,Caça/Pesca,Outras Atividades Econômicas: energia,Transporte Diversos",Sim,Sim,4,Sim,",MT,PA"
140,Fauna,Mamíferos,Atelidae,Alouatta guariba clamitans,Vulnerável (VU),VU,"Cerrado,Mata Atlântica,Pampa,","Agropecuária,Assentamento Humano: cidades,Caça/Pesca,Patogenias/Parasitas",Sim,Sim,3,Sim,"ES,MG,PR,RJ,RS,SC,SP"
141,Fauna,Mamíferos,Atelidae,Alouatta guariba guariba,Criticamente em Perigo (CR),CR,Mata Atlântica,"Agropecuária,Assentamento Humano: rurais,Caça/Pesca",Sim,Sim,3,Sim,"BA,ES,MG"
