,Fauna/Flora,Grupo,Família,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência
2572,Fauna,Invertebrados Terrestres,Chthoniidae,CR,Cerrado,"Assentamento Humano: cidades,Assentamento Humano: rurais",Sim,Não,3,Sim,MG
2573,Fauna,Invertebrados Terrestres,Hesperiidae,CR,Mata Atlântica,Assentamento Humano: cidades,Não,Sim,1,Sim,RJ
2574,Flora,Angiospermas,Orchidaceae,CR,Mata Atlântica,Turismo/Recreação,Não,Não,2,Sim,ES
2575,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"ES,MG"
2576,Flora,Angiospermas,Orchidaceae,CR,Cerrado,Turismo/Recreação,Sim,Sim,3,Sim,MG
2577,Flora,Angiospermas,Orchidaceae,EN,Mata Atlântica,"Turismo/Recreação, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,"ES,MG"
2578,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"ES,MG"
2579,Flora,Pteridófitas,Lycopodiaceae,EN,Cerrado,Vazio,Sim,Não,2,Sim,"GO,MG,MT"
2580,Fauna,Invertebrados Terrestres,Spirostreptidae,EN,Cerrado,Mineração,Não,Não,1,Sim,MG
2581,Fauna,Invertebrados Terrestres,Spirostreptidae,VU,Mata Atlântica,Mineração,Não,Não,0,Sim,MG
2582,Fauna,Invertebrados Terrestres,Spirostreptidae,EN,Cerrado,"Turismo/Recreação,Poluição,Assoreamento",Sim,Não,1,Sim,GO
2583,Fauna,Invertebrados Terrestres,Spirostreptidae,CR,Amazônia,Mineração,Não,Não,1,Sim,PA
2584,Fauna,Invertebrados Terrestres,Spirostreptidae,CR,Cerrado,Mudança na dinâmica das espécies nativas,Sim,Não,1,Sim,SP
2585,Fauna,Aves,Furnariidae,VU,Pampa,"Agropecuária,Extração Florestal,Queimadas",Sim,Sim,2,Não,RS
2586,Fauna,Peixes Continentais,Loricariidae,CR,Mata Atlântica,Poluição,Não,Sim,1,Sim,SP
2587,Fauna,Peixes Continentais,Loricariidae,EN,Cerrado,"Assentamento Humano: cidades,Poluição",Sim,Sim,2,Sim,SP
2587,Fauna,Peixes Continentais,Loricariidae,EN,Mata Atlântica,"Assentamento Humano: cidades,Poluição",Sim,Sim,2,Sim,SP
2588,Flora,Angiospermas,Iridaceae,CR,Cerrado,Extração de Madeira,Sim,Sim,3,Sim,MG
2589,Flora,Angiospermas,Iridaceae,CR,Cerrado,Agropecuária,Sim,Sim,2,Sim,MG
2590,Flora,Angiospermas,Iridaceae,CR,Cerrado,Agropecuária,Sim,Não,2,Sim,MG
2591,Flora,Angiospermas,Iridaceae,CR,Cerrado,Extração de Madeira,Sim,Sim,3,Informação não disponível,MG
2592,Flora,Angiospermas,Iridaceae,EN,Cerrado,Agropecuária,Sim,Sim,2,Informação não disponível,MG
2593,Flora,Angiospermas,Iridaceae,EN,Cerrado,Mineração,Sim,Sim,2,Sim,MG
2594,Flora,Angiospermas,Myrtaceae,EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,SP
2595,Flora,Angiospermas,Myrtaceae,EN,Mata Atlântica,"Agropecuária,Espécies Invasoras",Sim,Não,2,Sim,PR
2596,Fauna,Aves,Psophiidae,VU,Amazônia,"Agropecuária,Caça/Pesca",Sim,Sim,4,Sim,"MT,PA"
2597,Fauna,Aves,Psophiidae,VU,Amazônia,"Agropecuária,Caça/Pesca",Sim,Sim,4,Sim,PA
2598,Fauna,Aves,Psophiidae,CR,Amazônia,"Agropecuária,Caça/Pesca",Sim,Sim,3,Sim,"MA,PA"
2599,Flora,Angiospermas,Rubiaceae,EN,Mata Atlântica,Vazio,Sim,Não,2,Sim,SP
2600,Flora,Angiospermas,Rubiaceae,EN,Cerrado,Vazio,Sim,Sim,2,Informação não disponível,"MG,SP"
2600,Flora,Angiospermas,Rubiaceae,EN,Mata Atlântica,Vazio,Sim,Sim,2,Informação não disponível,"MG,SP"
2601,Flora,Angiospermas,Rubiaceae,EN,Cerrado,Vazio,Não,Não,1,Sim,"MG,SP"
2601,Flora,Angiospermas,Rubiaceae,EN,Mata Atlântica,Vazio,Não,Não,1,Sim,"MG,SP"
2602,Fauna,Invertebrados Terrestres,Theraphosidae,VU,Caatinga,"Caça/Pesca,Mineração,Queimadas",Sim,Não,3,Sim,"BA,MG"
2602,Fauna,Invertebrados Terrestres,Theraphosidae,VU,Cerrado,"Caça/Pesca,Mineração,Queimadas",Sim,Não,3,Sim,"BA,MG"
2603,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,"Plantação de Madereiras,Agropecuária,Poluição, Perda de Habitat/Degradação (Induzida por Humanos),Queimadas,Assentamento Humano: cidades",Sim,Sim,2,Sim,RJ
2604,Flora,Pteridófitas,Pteridaceae,CR,Mata Atlântica,"Poluição, Perda de Habitat/Degradação (Induzida por Humanos),Plantação de Madereiras,Agropecuária",Sim,Não,2,Sim,"ES,RJ"
2605,Fauna,Aves,Procellariidae,CR,Marinho,"Espécies Exóticas,Outras Atividades Econômicas: energia,Queimadas",Sim,Sim,2,Não,ES
2606,Fauna,Aves,Procellariidae,CR,Marinho,"Espécies Exóticas,Mudança na dinâmica das espécies nativas",Sim,Sim,2,Não,"AL,CE,ES,PB,PE,RJ,RN"
