,Fauna/Flora,Grupo,Família,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência
0,Flora,Angiospermas,Salicaceae,VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,2,Sim,PR
1,Fauna,Aves,Cracidae,EN,Cerrado,"Agropecuária,Assentamento Humano: cidades,Caça/Pesca,Extração Florestal",Sim,Não,4,Não,"BA,ES,MG,PR,RJ,RS,SC,SP"
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades,Caça/Pesca,Extração Florestal",Sim,Não,4,Não,"BA,ES,MG,PR,RJ,RS,SC,SP"
2,Flora,Angiospermas,Malvaceae,CR,Mata Atlântica,Assentamento Humano: cidades,Sim,Sim,2,Sim,RJ
3,Flora,Angiospermas,Malvaceae,CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,SP
4,Flora,Angiospermas,Santalaceae,VU,Cerrado,"Perda de Habitat/Degradação (Induzida por Humanos),Extração de Madeira,Agropecuária",Sim,Não,2,Sim,BA
5,Flora,Angiospermas,Myrtaceae,EN,Cerrado,"Mineração,Desenvolvimento e Infraestrutura",Sim,Sim,3,Não,MG
5,Flora,Angiospermas,Myrtaceae,EN,Mata Atlântica,"Mineração,Desenvolvimento e Infraestrutura",Sim,Sim,3,Não,MG
6,Fauna,Invertebrados Terrestres,Coenagrionidae,VU,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades,Poluição",Sim,Não,2,Sim,"BA,ES"
7,Fauna,Invertebrados Terrestres,Coenagrionidae,EN,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades",Sim,Não,2,Sim,ES
8,Fauna,Invertebrados Terrestres,Hypogastruridae,EN,Mata Atlântica,"Mudança na dinâmica das espécies nativas,Turismo/Recreação",Sim,Não,3,Sim,"PR,SP"
9,Flora,Angiospermas,Plantaginaceae,CR,Mata Atlântica,Queimadas,Sim,Não,2,Sim,"ES,MG"
10,Flora,Angiospermas,Plantaginaceae,CR,Mata Atlântica,"Assentamento Humano: cidades,Desenvolvimento e Infraestrutura",Sim,Sim,2,Sim,"ES,MG,RJ"
11,Fauna,Peixes Marinhos,Achiridae,VU,Mata Atlântica,"Caça/Pesca,Outras Atividades Econômicas: energia,Poluição,Assoreamento",Sim,Não,1,Sim,BA
12,Flora,Angiospermas,Orchidaceae,CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,PR
13,Flora,Angiospermas,Orchidaceae,CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"ES,MG,RJ"
14,Flora,Angiospermas,Orchidaceae,EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,PR
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Agropecuária,Turismo/Recreação",Sim,Sim,3,Informação não disponível,"BA,CE,PE,ES,MG,SP,RS"
16,Flora,Angiospermas,Asteraceae,EN,Pampa,"Agropecuária,Queimadas",Sim,Não,2,Não,"PR,RS"
17,Flora,Angiospermas,Asteraceae,VU,Caatinga,"Queimadas,Extração de Madeira,Assentamento Humano: cidades",Sim,Não,2,Sim,BA
18,Flora,Angiospermas,Asteraceae,EN,Caatinga,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,BA
19,Flora,Angiospermas,Asteraceae,VU,Caatinga,Vazio,Sim,Sim,2,Informação não disponível,MG
19,Flora,Angiospermas,Asteraceae,VU,Cerrado,Vazio,Sim,Sim,2,Informação não disponível,MG
20,Flora,Angiospermas,Asteraceae,CR,Caatinga,Queimadas,Não,Não,1,Sim,BA
21,Fauna,Aves,Furnariidae,VU,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,"BA,MG"
22,Flora,Angiospermas,Arecaceae,VU,Cerrado,"Agropecuária,Queimadas, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Informação não disponível,"GO,MS,MG,SP,PR"
23,Flora,Angiospermas,Eriocaulaceae,CR,Cerrado,"Perda de Habitat/Degradação (Induzida por Humanos),Agropecuária",Sim,Sim,2,Sim,MG
24,Flora,Angiospermas,Eriocaulaceae,VU,Cerrado,"Agropecuária, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Sim,2,Sim,MG
25,Fauna,Invertebrados Terrestres,Nymphalidae,VU,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades",Sim,Sim,3,Sim,RJ
26,Fauna,Invertebrados Terrestres,Nymphalidae,CR,Mata Atlântica,Poluição,Sim,Sim,2,Sim,SP
27,Flora,Angiospermas,Orchidaceae,CR,Caatinga,Vazio,Sim,Não,3,Sim,BA
28,Fauna,Invertebrados Terrestres,Baetidae,VU,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,ES
29,Fauna,Anfíbios,Eleutherodactylidae,VU,Caatinga,"Agropecuária,Assentamento Humano: cidades",Não,Sim,2,Sim,CE
30,Flora,Angiospermas,Bignoniaceae,EN,Caatinga,"Extração para Combustível,Agropecuária",Sim,Não,2,Sim,"PI,CE,MG,BA"
31,Flora,Angiospermas,Bignoniaceae,EN,Cerrado,Queimadas,Sim,Não,2,Sim,BA
32,Flora,Angiospermas,Bignoniaceae,EN,Mata Atlântica,Queimadas,Sim,Não,2,Sim,MG
33,Flora,Angiospermas,Bignoniaceae,CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"RJ,SP"
34,Flora,Angiospermas,Euphorbiaceae,CR,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,CE
35,Flora,Pteridófitas,Pteridaceae,CR,Mata Atlântica,"Agropecuária,Plantação de Madereiras",Sim,Não,2,Sim,BA
36,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,"Plantação de Madereiras,Agropecuária",Sim,Não,2,Sim,BA
37,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,"Agropecuária,Plantação de Madereiras",Sim,Não,2,Sim,"MG,RJ,SP"
38,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,"Turismo/Recreação,Agropecuária",Sim,Não,2,Informação não disponível,"PR,RJ,ES,MG"
39,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Plantação de Madereiras,Sim,Não,2,Informação não disponível,"BA,MG"
40,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,"Agropecuária,Queimadas",Não,Não,1,Sim,"BA,MG"
41,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Fatores Intrínsecos",Sim,Não,2,Sim,"BA,ES"
42,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Extração Direta",Sim,Não,2,Sim,"SC,SP,PR,SC"
43,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,"Agropecuária,Espécies Invasoras,Extração Direta",Sim,Não,2,Sim,"BA,ES"
44,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,Vazio,Sim,Não,2,Informação não disponível,"MG,RJ"
45,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Distribuição Restrita",Sim,Sim,2,Sim,RJ
46,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,ES
47,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"BA,ES"
48,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,"Agropecuária,Distribuição Restrita",Sim,Não,2,Sim,BA
49,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Distribuição Restrita",Sim,Não,2,Sim,ES
50,Flora,Angiospermas,Bromeliaceae,CR,Mata Atlântica,"Espécies Invasoras, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,"BA,PE,AL"
51,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Vazio,Sim,Sim,2,Sim,SC
52,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Extração de Não Madereiras,Sim,Não,2,Sim,"SC,RS"
53,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Vazio,Sim,Não,2,Sim,ES
54,Flora,Angiospermas,Bromeliaceae,CR,Mata Atlântica,Baixa Densidade,Sim,Não,2,Sim,AL
55,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Desenvolvimento e Infraestrutura,Sim,Não,2,Sim,"PE,AL,RN"
56,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Distribuição Restrita",Sim,Não,2,Sim,ES
57,Flora,Angiospermas,Bromeliaceae,CR,Mata Atlântica,Extração de Não Madereiras,Sim,Não,2,Sim,ES
58,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Desenvolvimento e Infraestrutura,Sim,Não,2,Sim,"ES,RJ"
59,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Vazio,Sim,Não,2,Sim,"ES,PR"
60,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,Vazio,Sim,Não,2,Sim,"MG,RJ,SP"
61,Flora,Angiospermas,Bromeliaceae,EN,Caatinga,Distúrbio Humano,Sim,Não,2,Sim,"PE,AL,RN"
61,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Distúrbio Humano,Sim,Não,2,Sim,"PE,AL,RN"
62,Flora,Angiospermas,Bromeliaceae,CR,Mata Atlântica,Extração de Não Madereiras,Sim,Não,2,Sim,"RS,SC"
63,Fauna,Invertebrados Aquáticos,Aeglidae,CR,Mata Atlântica,"Agropecuária,Poluição",Não,Sim,1,Sim,SC
64,Fauna,Invertebrados Aquáticos,Aeglidae,EN,Mata Atlântica,"Agropecuária,Outras Atividades Econômicas: energia",Não,Sim,1,Sim,"RS,SC"
65,Fauna,Invertebrados Aquáticos,Aeglidae,CR,Mata Atlântica,"Assentamento Humano: cidades,Poluição",Sim,Não,2,Sim,SP
66,Fauna,Invertebrados Aquáticos,Aeglidae,CR,Mata Atlântica,"Agropecuária,Indústrias,Transporte Diversos",Não,Sim,1,Sim,"MG,SP"
67,Fauna,Invertebrados Aquáticos,Aeglidae,VU,Mata Atlântica,"Agropecuária,Transporte Diversos,Poluição",Não,Sim,1,Sim,RS
68,Fauna,Invertebrados Aquáticos,Aeglidae,VU,Mata Atlântica,"Agropecuária,Outras Atividades Econômicas: energia",Sim,Sim,1,Sim,RS
68,Fauna,Invertebrados Aquáticos,Aeglidae,VU,Pampa,"Agropecuária,Outras Atividades Econômicas: energia",Sim,Sim,1,Sim,RS
69,Fauna,Invertebrados Aquáticos,Aeglidae,EN,Mata Atlântica,"Agropecuária,Transporte Diversos,Poluição",Sim,Sim,2,Sim,RS
69,Fauna,Invertebrados Aquáticos,Aeglidae,EN,Pampa,"Agropecuária,Transporte Diversos,Poluição",Sim,Sim,2,Sim,RS
70,Fauna,Invertebrados Aquáticos,Aeglidae,EN,Mata Atlântica,"Agropecuária,Poluição",Não,Sim,1,Sim,RS
70,Fauna,Invertebrados Aquáticos,Aeglidae,EN,Pampa,"Agropecuária,Poluição",Não,Sim,1,Sim,RS
71,Fauna,Invertebrados Aquáticos,Aeglidae,CR,Mata Atlântica,"Agropecuária,Poluição,Queimadas",Não,Sim,1,Sim,PR
72,Fauna,Invertebrados Aquáticos,Aeglidae,EN,Mata Atlântica,"Agropecuária,Poluição",Não,Sim,1,Sim,SC
73,Fauna,Invertebrados Aquáticos,Aeglidae,CR,Mata Atlântica,"Espécies Exóticas,Mineração,Turismo/Recreação",Não,Não,1,Sim,SP
74,Fauna,Invertebrados Aquáticos,Aeglidae,VU,Mata Atlântica,"Agropecuária,Outras Atividades Econômicas: energia",Sim,Sim,1,Sim,"RS,SC"
75,Fauna,Invertebrados Aquáticos,Aeglidae,VU,Mata Atlântica,"Agropecuária,Poluição",Sim,Sim,2,Sim,RS
76,Fauna,Invertebrados Aquáticos,Aeglidae,EN,Mata Atlântica,"Agropecuária,Poluição",Não,Sim,1,Sim,RS
76,Fauna,Invertebrados Aquáticos,Aeglidae,EN,Pampa,"Agropecuária,Poluição",Não,Sim,1,Sim,RS
77,Fauna,Invertebrados Aquáticos,Aeglidae,CR,Mata Atlântica,"Espécies Exóticas,Mineração",Sim,Não,2,Sim,SP
78,Fauna,Invertebrados Aquáticos,Aeglidae,EN,Mata Atlântica,"Agropecuária,Outras Atividades Econômicas: energia,Poluição",Não,Sim,1,Sim,SC
79,Fauna,Invertebrados Aquáticos,Aeglidae,EN,Pampa,"Agropecuária,Poluição,Poluição,Assoreamento",Não,Não,0,Sim,RS
80,Fauna,Invertebrados Aquáticos,Aeglidae,CR,Mata Atlântica,Poluição,Sim,Sim,2,Sim,SP
81,Fauna,Invertebrados Aquáticos,Aeglidae,EN,Mata Atlântica,"Agropecuária,Outras Atividades Econômicas: energia",Sim,Sim,1,Sim,RS
81,Fauna,Invertebrados Aquáticos,Aeglidae,EN,Pampa,"Agropecuária,Outras Atividades Econômicas: energia",Sim,Sim,1,Sim,RS
82,Fauna,Invertebrados Aquáticos,Aeglidae,EN,Mata Atlântica,"Agropecuária,Turismo/Recreação",Não,Sim,1,Sim,SC
83,Fauna,Invertebrados Aquáticos,Aeglidae,CR,Pampa,Poluição,Sim,Sim,1,Sim,RS
84,Fauna,Invertebrados Aquáticos,Aeglidae,EN,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades",Sim,Sim,1,Sim,"RS,SC"
84,Fauna,Invertebrados Aquáticos,Aeglidae,EN,Pampa,"Agropecuária,Assentamento Humano: cidades",Sim,Sim,1,Sim,"RS,SC"
85,Fauna,Invertebrados Aquáticos,Aeglidae,VU,Mata Atlântica,"Agropecuária,Poluição",Não,Sim,1,Sim,RS
85,Fauna,Invertebrados Aquáticos,Aeglidae,VU,Pampa,"Agropecuária,Poluição",Não,Sim,1,Sim,RS
86,Fauna,Invertebrados Aquáticos,Aeglidae,VU,Mata Atlântica,"Agropecuária,Outras Atividades Econômicas: energia",Não,Sim,1,Sim,"RS,SC"
87,Fauna,Invertebrados Aquáticos,Aeglidae,EN,Mata Atlântica,Assentamento Humano: rurais,Sim,Sim,1,Sim,"PR,SP"
88,Fauna,Invertebrados Aquáticos,Aeglidae,EN,Pampa,"Agropecuária,Espécies Exóticas,Poluição",Sim,Sim,1,Sim,RS
89,Flora,Angiospermas,Fabaceae,EN,Mata Atlântica,"Agropecuária,Turismo/Recreação,Poluição",Não,Sim,2,Informação não disponível,"RS,SC"
90,Flora,Angiospermas,Fabaceae,EN,Cerrado,Distribuição Restrita,Não,Sim,2,Sim,MG
91,Flora,Angiospermas,Orobanchaceae,CR,Mata Atlântica,"Queimadas,Turismo/Recreação",Sim,Não,2,Sim,"ES,MG"
92,Flora,Angiospermas,Orobanchaceae,VU,Cerrado,"Extração para Combustível,Mineração,Turismo/Recreação,Assentamento Humano: cidades",Sim,Sim,3,Sim,MG
93,Flora,Angiospermas,Orobanchaceae,EN,Cerrado,"Extração para Combustível,Mineração,Assentamento Humano: cidades,Turismo/Recreação",Sim,Não,2,Sim,MG
94,Flora,Angiospermas,Orobanchaceae,EN,Cerrado,"Desastres Naturais,Queimadas",Sim,Não,2,Sim,MG
95,Flora,Angiospermas,Orobanchaceae,EN,Mata Atlântica,"Mineração,Turismo/Recreação",Não,Sim,2,Sim,"MG,SP,PR"
96,Flora,Angiospermas,Orobanchaceae,CR,Cerrado,"Assentamento Humano: cidades,Extração para Combustível,Mineração,Turismo/Recreação",Não,Sim,2,Sim,MG
97,Fauna,Anfíbios,Hylidae,VU,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades",Sim,Sim,4,Sim,"AL,PE"
98,Flora,Angiospermas,Asteraceae,EN,Cerrado,"Perda de Habitat/Degradação (Induzida por Humanos),Agropecuária",Sim,Não,2,Sim,BA
99,Flora,Angiospermas,Asteraceae,EN,Caatinga,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,BA
99,Flora,Angiospermas,Asteraceae,EN,Cerrado,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,BA
100,Flora,Angiospermas,Poaceae,VU,Mata Atlântica,"Queimadas,Espécies Invasoras,Agropecuária",Sim,Sim,2,Não,"MG,RJ,SP,PR,SC,RS"
101,Flora,Angiospermas,Poaceae,EN,Mata Atlântica,"Poluição,Agropecuária,Espécies Invasoras,Queimadas",Sim,Não,2,Sim,"MG,RJ,SP,PR,SC,RS"
102,Fauna,Peixes Continentais,Pimelodidae,EN,Amazônia,Outras Atividades Econômicas: energia,Sim,Sim,2,Sim,"MT,PA,TO"
102,Fauna,Peixes Continentais,Pimelodidae,EN,Cerrado,Outras Atividades Econômicas: energia,Sim,Sim,2,Sim,"MT,PA,TO"
103,Flora,Angiospermas,Lauraceae,EN,Amazônia,"Perda de Habitat/Degradação (Induzida por Humanos),Desenvolvimento e Infraestrutura",Sim,Não,3,Não,"AC,AM,AP"
104,Flora,Angiospermas,Lauraceae,VU,Cerrado,Agropecuária,Sim,Não,2,Sim,"SP,MG"
104,Flora,Angiospermas,Lauraceae,VU,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,"SP,MG"
105,Flora,Angiospermas,Lauraceae,EN,Amazônia,"Extração de Madeira,Assentamento Humano: cidades,Agropecuária",Sim,Não,2,Não,AC
106,Fauna,Mamíferos,Cricetidae,VU,Mata Atlântica,"Patogenias/Parasitas,Queimadas",Sim,Não,1,Sim,ES
107,Flora,Pteridófitas,Polypodiaceae,CR,Amazônia,Vazio,Sim,Não,2,Não,"AM,SP"
107,Flora,Pteridófitas,Polypodiaceae,CR,Mata Atlântica,Vazio,Sim,Não,2,Não,"AM,SP"
108,Flora,Angiospermas,Orchidaceae,CR,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,RJ
109,Flora,Angiospermas,Fabaceae,VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Não,Não,1,Sim,"PR,SC,RS"
110,Flora,Angiospermas,Fabaceae,EN,Amazônia,Poluição,Sim,Não,3,Não,"AM,RO"
111,Flora,Angiospermas,Bromeliaceae,CR,Mata Atlântica,"Extração de Não Madereiras, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,ES
112,Flora,Angiospermas,Bromeliaceae,EN,Cerrado,"Extração de Não Madereiras,Queimadas",Sim,Sim,2,Sim,MG
113,Flora,Angiospermas,Bromeliaceae,CR,Mata Atlântica,Turismo/Recreação,Sim,Sim,2,Sim,RJ
114,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,2,Sim,RJ
115,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,"Turismo/Recreação,Assentamento Humano: cidades,Queimadas",Sim,Sim,2,Sim,RJ
116,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,"Turismo/Recreação,Extração Direta,Queimadas",Sim,Não,2,Sim,"MG,RJ"
117,Flora,Angiospermas,Bromeliaceae,VU,Caatinga,"Extração de Não Madereiras,Queimadas",Não,Não,1,Sim,BA
117,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,"Extração de Não Madereiras,Queimadas",Não,Não,1,Sim,BA
118,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Vazio,Sim,Sim,2,Sim,RJ
119,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Extração de Não Madereiras,Sim,Não,2,Sim,ES
120,Flora,Angiospermas,Asteraceae,EN,Cerrado,Vazio,Sim,Não,2,Sim,MS
121,Flora,Angiospermas,Asteraceae,EN,Cerrado,Vazio,Sim,Não,2,Sim,"BA,GO,MG"
122,Flora,Angiospermas,Asteraceae,VU,Cerrado,Vazio,Sim,Sim,2,Informação não disponível,"GO,MG,SP"
123,Flora,Angiospermas,Asteraceae,CR,Cerrado,Vazio,Sim,Não,2,Não,MS
124,Flora,Angiospermas,Asteraceae,CR,Cerrado,Vazio,Sim,Não,2,Sim,PR
125,Flora,Angiospermas,Asteraceae,EN,Cerrado,Vazio,Sim,Não,2,Sim,MT
126,Fauna,Aves,Tyrannidae,VU,Cerrado,"Agropecuária,Mineração,Queimadas",Sim,Sim,4,Não,"BA,DF,GO,MG,MS,MT,PR,SP,TO"
126,Fauna,Aves,Tyrannidae,VU,Mata Atlântica,"Agropecuária,Mineração,Queimadas",Sim,Sim,4,Não,"BA,DF,GO,MG,MS,MT,PR,SP,TO"
126,Fauna,Aves,Tyrannidae,VU,Pantanal,"Agropecuária,Mineração,Queimadas",Sim,Sim,4,Não,"BA,DF,GO,MG,MS,MT,PR,SP,TO"
127,Fauna,Invertebrados Terrestres,Sphingidae,VU,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,"PR,RJ,SP"
128,Fauna,Invertebrados Terrestres,Sphingidae,EN,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades,Extração Florestal,Poluição",Sim,Não,2,Sim,SP
129,Flora,Angiospermas,Euphorbiaceae,CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,ES
130,Flora,Angiospermas,Euphorbiaceae,CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Não,Não,1,Sim,ES
131,Flora,Angiospermas,Arecaceae,VU,Caatinga,"Assentamento Humano: cidades,Turismo/Recreação",Sim,Não,2,Sim,"BA,SE"
131,Flora,Angiospermas,Arecaceae,VU,Mata Atlântica,"Assentamento Humano: cidades,Turismo/Recreação",Sim,Não,2,Sim,"BA,SE"
132,Fauna,Anfíbios,Aromobatidae,CR,Cerrado,"Agropecuária,Outras Atividades Econômicas: energia",Não,Sim,1,Sim,MT
133,Fauna,Anfíbios,Aromobatidae,EN,Cerrado,"Agropecuária,Mineração,Outras Atividades Econômicas: energia",Sim,Sim,3,Sim,"DF,GO"
134,Fauna,Anfíbios,Aromobatidae,VU,Mata Atlântica,Assentamento Humano: cidades,Sim,Sim,3,Sim,RJ
135,Flora,Angiospermas,Rutaceae,EN,Mata Atlântica,Desenvolvimento e Infraestrutura,Sim,Não,2,Sim,BA
136,Fauna,Peixes Marinhos,Alopiidae,VU,Marinho,Caça/Pesca,Sim,Sim,4,Não,"AL,AP,BA,CE,ES,MA,PA,PB,PE,PI,PR,RJ,RN,RS,SC,SE,SP"
137,Fauna,Peixes Marinhos,Alopiidae,VU,Marinho,Caça/Pesca,Sim,Sim,4,Não,"AL,AP,BA,CE,ES,MA,PA,PB,PE,PI,PR,RJ,RN,RS,SC,SE,SP"
138,Fauna,Mamíferos,Atelidae,VU,Amazônia,"Agropecuária,Assentamento Humano: cidades,Assentamento Humano: rurais,Caça/Pesca,Outras Atividades Econômicas: energia",Sim,Sim,5,Sim,"AP,MA,PA,TO"
138,Fauna,Mamíferos,Atelidae,VU,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades,Assentamento Humano: rurais,Caça/Pesca,Outras Atividades Econômicas: energia",Sim,Sim,5,Sim,"AP,MA,PA,TO"
139,Fauna,Mamíferos,Atelidae,VU,Amazônia,"Agropecuária,Assentamento Humano: rurais,Caça/Pesca,Outras Atividades Econômicas: energia,Transporte Diversos",Sim,Sim,4,Sim,",MT,PA"
140,Fauna,Mamíferos,Atelidae,VU,Cerrado,"Agropecuária,Assentamento Humano: cidades,Caça/Pesca,Patogenias/Parasitas",Sim,Sim,3,Sim,"ES,MG,PR,RJ,RS,SC,SP"
140,Fauna,Mamíferos,Atelidae,VU,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades,Caça/Pesca,Patogenias/Parasitas",Sim,Sim,3,Sim,"ES,MG,PR,RJ,RS,SC,SP"
140,Fauna,Mamíferos,Atelidae,VU,Pampa,"Agropecuária,Assentamento Humano: cidades,Caça/Pesca,Patogenias/Parasitas",Sim,Sim,3,Sim,"ES,MG,PR,RJ,RS,SC,SP"
140,Fauna,Mamíferos,Atelidae,VU,,"Agropecuária,Assentamento Humano: cidades,Caça/Pesca,Patogenias/Parasitas",Sim,Sim,3,Sim,"ES,MG,PR,RJ,RS,SC,SP"
141,Fauna,Mamíferos,Atelidae,CR,Mata Atlântica,"Agropecuária,Assentamento Humano: rurais,Caça/Pesca",Sim,Sim,3,Sim,"BA,ES,MG"
142,Fauna,Mamíferos,Atelidae,EN,Caatinga,"Agropecuária,Assentamento Humano: rurais,Caça/Pesca,Extração Florestal,Outras Atividades Econômicas: energia",Sim,Sim,3,Sim,"CE,MA,PI"
142,Fauna,Mamíferos,Atelidae,EN,Cerrado,"Agropecuária,Assentamento Humano: rurais,Caça/Pesca,Extração Florestal,Outras Atividades Econômicas: energia",Sim,Sim,3,Sim,"CE,MA,PI"
143,Flora,Angiospermas,Verbenaceae,EN,Mata Atlântica,Assentamento Humano: cidades,Sim,Não,2,Sim,"PR,PA"
144,Flora,Angiospermas,Rubiaceae,VU,Caatinga,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Informação não disponível,"BA,ES,MG,RJ,SP"
144,Flora,Angiospermas,Rubiaceae,VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Informação não disponível,"BA,ES,MG,RJ,SP"
145,Flora,Angiospermas,Alstroemeriaceae,EN,Mata Atlântica,"Espécies Invasoras,Linhas de Energia,Turismo/Recreação",Sim,Não,2,Sim,"PR,SC"
146,Flora,Angiospermas,Alstroemeriaceae,EN,Cerrado,"Espécies Invasoras,Agropecuária,Mineração",Não,Sim,2,Sim,"MT,MG,GO"
147,Flora,Angiospermas,Alstroemeriaceae,CR,Mata Atlântica,"Queimadas,Agropecuária, Perda de Habitat/Degradação (Induzida por Humanos),Espécies Invasoras",Sim,Não,2,Sim,"ES,MG"
148,Flora,Angiospermas,Alstroemeriaceae,EN,Mata Atlântica,"Desenvolvimento e Infraestrutura, Perda de Habitat/Degradação (Induzida por Humanos),Agropecuária,Extração de Madeira",Sim,Não,2,Sim,"ES,RJ,SP,PA"
149,Flora,Angiospermas,Alstroemeriaceae,CR,Mata Atlântica,"Queimadas,Agropecuária, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,"PR,SC"
150,Flora,Angiospermas,Alstroemeriaceae,EN,Cerrado,"Queimadas, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,"DF,GO"
151,Flora,Angiospermas,Alstroemeriaceae,EN,Cerrado,"Agropecuária,Turismo/Recreação,Extração de Não Madereiras, Perda de Habitat/Degradação (Induzida por Humanos),Extração para Combustível,Mineração,Espécies Invasoras,Queimadas",Sim,Não,2,Sim,MG
151,Flora,Angiospermas,Alstroemeriaceae,EN,Mata Atlântica,"Agropecuária,Turismo/Recreação,Extração de Não Madereiras, Perda de Habitat/Degradação (Induzida por Humanos),Extração para Combustível,Mineração,Espécies Invasoras,Queimadas",Sim,Não,2,Sim,MG
152,Flora,Angiospermas,Amaranthaceae,EN,Cerrado,"Perda de Habitat/Degradação (Induzida por Humanos),Distribuição Restrita",Sim,Não,2,Sim,"MG,MS"
153,Flora,Angiospermas,Amaranthaceae,VU,Mata Atlântica,"Agropecuária,Espécies Invasoras",Sim,Não,2,Não,"PR,MS,SC,RS,SP"
